,symbol,date,Ra
539,ATD-B.TO,08-11-2021,0.001213122
540,ATD-B.TO,09-11-2021,0.017227998
541,AP-UN.TO,02-07-2021,0
542,AP-UN.TO,05-07-2021,0.008401496
543,AP-UN.TO,06-07-2021,0.010076799
544,AP-UN.TO,07-07-2021,-0.011839701
545,AP-UN.TO,08-07-2021,-0.006194623
546,AP-UN.TO,09-07-2021,0.023902075
547,AP-UN.TO,12-07-2021,-0.003690494
548,AP-UN.TO,13-07-2021,-0.00108798
549,AP-UN.TO,14-07-2021,-0.005020133
550,AP-UN.TO,15-07-2021,0.007412169
551,AP-UN.TO,16-07-2021,-0.004571599
552,AP-UN.TO,19-07-2021,-0.022507686
553,AP-UN.TO,20-07-2021,0.012199305
554,AP-UN.TO,21-07-2021,0.010744634
555,AP-UN.TO,22-07-2021,-0.011185668
556,AP-UN.TO,23-07-2021,0.005059982
557,AP-UN.TO,26-07-2021,-0.006163329
558,AP-UN.TO,27-07-2021,0.017509765
559,AP-UN.TO,28-07-2021,-0.008935348
560,AP-UN.TO,29-07-2021,-0.010552296
561,AP-UN.TO,30-07-2021,0.014322185
562,AP-UN.TO,03-08-2021,-0.012548369
563,AP-UN.TO,04-08-2021,-0.009571594
564,AP-UN.TO,05-08-2021,0.002010922
565,AP-UN.TO,06-08-2021,0.000446363
566,AP-UN.TO,09-08-2021,-0.01031628
567,AP-UN.TO,10-08-2021,-0.009968396
568,AP-UN.TO,11-08-2021,-0.001595132
569,AP-UN.TO,12-08-2021,-0.003197847
570,AP-UN.TO,13-08-2021,0.002056974
571,AP-UN.TO,16-08-2021,-0.001599505
572,AP-UN.TO,17-08-2021,-0.020562014
573,AP-UN.TO,18-08-2021,0.005122356
574,AP-UN.TO,19-08-2021,-0.00839572
575,AP-UN.TO,20-08-2021,-0.003519122
576,AP-UN.TO,23-08-2021,0.00632551
577,AP-UN.TO,24-08-2021,0.004892167
578,AP-UN.TO,25-08-2021,0.003016708
579,AP-UN.TO,26-08-2021,-0.00069536
580,AP-UN.TO,27-08-2021,0.010608929
581,AP-UN.TO,30-08-2021,-0.001566191
582,AP-UN.TO,31-08-2021,-0.002076927
583,AP-UN.TO,01-09-2021,0.000231032
584,AP-UN.TO,02-09-2021,0.002997685
585,AP-UN.TO,03-09-2021,-0.00484697
586,AP-UN.TO,07-09-2021,-0.021279861
587,AP-UN.TO,08-09-2021,0.007534651
588,AP-UN.TO,09-09-2021,-0.011323457
589,AP-UN.TO,10-09-2021,-0.012894241
590,AP-UN.TO,13-09-2021,0.009567144
591,AP-UN.TO,14-09-2021,0.000475988
592,AP-UN.TO,15-09-2021,0
593,AP-UN.TO,16-09-2021,-0.004530747
594,AP-UN.TO,17-09-2021,-0.009364955
595,AP-UN.TO,20-09-2021,-0.017523093
596,AP-UN.TO,21-09-2021,0.003186707
597,AP-UN.TO,22-09-2021,0.006586234
598,AP-UN.TO,23-09-2021,0.00121503
599,AP-UN.TO,24-09-2021,-0.004380686
600,AP-UN.TO,27-09-2021,0.007532526
601,AP-UN.TO,28-09-2021,-0.011678992
602,AP-UN.TO,29-09-2021,-0.010375511
603,AP-UN.TO,30-09-2021,-0.001242335
604,AP-UN.TO,01-10-2021,0.019207577
605,AP-UN.TO,04-10-2021,-0.005870897
606,AP-UN.TO,05-10-2021,-0.003440627
607,AP-UN.TO,06-10-2021,0.006135665
608,AP-UN.TO,07-10-2021,-0.001224086
609,AP-UN.TO,08-10-2021,-0.003435561
610,AP-UN.TO,12-10-2021,0.014883786
611,AP-UN.TO,13-10-2021,0.002418979
612,AP-UN.TO,14-10-2021,-0.000483367
613,AP-UN.TO,15-10-2021,-0.001693566
